1,1,1,0.0166666666666667,1,1,1,1,1,9
1,1,1,0.0166666666666667,1,1,1,1,1,20
1,1,1,0.0166666666666667,1,1,1,1,1,3
1,1,1,0.0166666666666667,1,1,1,1,1,3
0.8,1,1,0.0166666666666667,1,0.8,1.2,1.2,1.2,4
0.8,1,1,0.0166666666666667,1,0.8,1.2,1.2,1.2,3
1,0.8,0.8,0.0166666666666667,0.8,1,1.2,1.2,1.2,3
1,1,1,0.0166666666666667,0.8,1,1.5,1.5,1.5,3
1,1,1,0.0166666666666667,0.8,1,1.5,1,1,3
1,1,1,0.025,0.8,1,1.5,1,1,3
1,1,1,0.025,0.8,1,1.5,1,1,3
1,1,1,0.025,0.8,1,1.8,1,1,3
1,1,1,0.025,0.8,1,1.8,1,1,3
1,1,1,0.025,0.8,1,1.8,1,1,3
1,1,1,0.025,0.8,1,1.8,1,1,3
1,1,1,0.025,0.8,1,1.8,1,1,3
1,1,1,0.025,0.8,1,1.8,1,1,3
1,1,1,0.025,0.8,1,1,0.8,0.8,4
1,1,1,0.025,0.8,1,1,0.8,0.8,9.33311108970062
1,0.8,0.8,0.025,0.8,1,1,0.8,0.8,9.33311108970062
1,0.8,0.8,0.025,0.8,1,1.2,0.8,0.8,9.33311108970062
1,0.8,0.8,0.025,0.8,1,1.5,0.8,0.8,9.33311108970062
1,0.8,0.8,0.0333333333333333,1,1,1.2,0.8,0.8,9.33311108970062
1,0.8,0.8,0.0333333333333333,1,1,1.2,0.8,0.8,10.0170748644914
